combination,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,elapsed,accuracy
8-2,600,0.01,8,0.7,0.8,50,10.855181217193604,0.711741935483871
8-3,200,0.01,8,1.0,1.0,1,13.533678770065308,0.7106236559139785
8-4,400,0.05,5,0.7,0.8,1,16.021342039108276,0.7154408602150537
8-5,400,0.05,8,1.0,1.0,10,20.04016661643982,0.7326451612903225
8-6,200,0.01,8,1.0,0.8,50,22.36847424507141,0.7064086021505376
8-7,400,0.05,5,1.0,1.0,50,24.738651752471924,0.7083870967741935
8-8,200,0.01,5,0.7,1.0,1,26.039863109588623,0.6972043010752688
8-9,200,0.01,5,1.0,0.8,50,27.301472187042236,0.6952258064516129
8-10,400,0.1,8,0.7,1.0,1,31.528656721115112,0.7552688172043011
8-11,600,0.05,5,0.7,1.0,50,35.45891284942627,0.7163010752688173
8-12,200,0.1,8,0.7,1.0,1,37.59863805770874,0.7456344086021506
8-13,400,0.01,5,0.7,0.8,1,40.166907787323,0.701505376344086
9-1,600,0.01,8,1.0,0.8,1,7.503713130950928,0.7239569892473118
9-2,400,0.1,5,0.7,0.8,10,9.829288721084595,0.7255913978494624
9-3,400,0.1,8,0.7,1.0,10,14.271981000900269,0.7478709677419355
9-4,400,0.01,5,0.7,0.8,50,16.817473888397217,0.6983225806451613
9-5,200,0.1,8,1.0,1.0,50,18.87611413002014,0.7254193548387097
9-6,400,0.01,5,0.7,1.0,10,21.439322471618652,0.6990967741935484
9-7,200,0.05,8,0.7,1.0,1,24.051384210586548,0.7329032258064516
9-8,600,0.01,5,1.0,1.0,50,27.77748942375183,0.6992688172043011
9-9,200,0.05,8,0.7,1.0,10,29.96546244621277,0.7270537634408603
9-10,400,0.05,5,1.0,1.0,1,32.239668130874634,0.7118279569892473
9-11,200,0.1,8,0.7,0.8,1,34.64182925224304,0.7434838709677419
9-12,600,0.1,8,0.7,1.0,50,41.19964957237244,0.7455483870967742
9-13,400,0.05,8,1.0,0.8,10,45.44864106178284,0.7347956989247312
10-1,400,0.1,5,1.0,1.0,10,3.1320443153381348,0.7214623655913979
10-2,200,0.05,5,0.7,1.0,50,4.384552478790283,0.7025376344086022
10-3,200,0.01,8,0.7,0.8,10,6.587924242019653,0.7110537634408602
10-4,400,0.01,8,0.7,1.0,10,11.13578200340271,0.7166451612903226
10-5,400,0.01,5,1.0,1.0,1,14.29923939704895,0.6988387096774193
10-6,400,0.1,5,0.7,1.0,50,16.702335119247437,0.7217204301075268
10-7,400,0.1,5,1.0,1.0,1,18.918909549713135,0.7243870967741936
10-8,400,0.01,8,0.7,0.8,1,23.970478534698486,0.7212043010752688
10-9,200,0.01,5,0.7,1.0,10,25.27497935295105,0.6960860215053764
10-10,400,0.1,5,1.0,1.0,50,27.492790460586548,0.7157849462365592
10-11,400,0.1,5,0.7,1.0,1,29.80176329612732,0.7273118279569892
10-12,200,0.05,8,0.7,0.8,50,31.95725679397583,0.719741935483871
10-13,600,0.1,5,1.0,0.8,50,35.564154386520386,0.7209462365591398
11-1,200,0.01,5,0.7,0.8,50,2.196747303009033,0.6953118279569892
11-2,200,0.05,5,0.7,0.8,10,3.4952011108398438,0.7058924731182795
11-3,200,0.01,5,1.0,0.8,10,4.783715724945068,0.696258064516129
11-4,400,0.01,8,1.0,0.8,1,9.406154155731201,0.7186236559139785
11-5,200,0.1,5,1.0,0.8,50,11.074712991714478,0.708989247311828
11-6,400,0.05,5,0.7,0.8,10,13.85751748085022,0.7136344086021505
11-7,600,0.1,5,0.7,1.0,10,17.388953924179077,0.7321290322580645
11-8,200,0.05,8,0.7,0.8,10,19.57059931755066,0.7267096774193549
11-9,200,0.05,5,0.7,0.8,1,20.823452472686768,0.7089032258064516
11-10,200,0.1,8,1.0,0.8,10,22.917270183563232,0.735741935483871
11-11,400,0.01,5,1.0,0.8,1,25.501307725906372,0.7000430107526882
11-12,200,0.1,5,1.0,1.0,10,26.74923062324524,0.7089032258064516
11-13,600,0.01,8,1.0,1.0,10,33.71448731422424,0.7196559139784946
12-1,600,0.05,8,0.7,0.8,1,6.957254648208618,0.7566451612903226
12-2,200,0.05,5,1.0,0.8,50,8.167945623397827,0.7033978494623656
12-3,600,0.05,5,1.0,1.0,10,11.570816040039062,0.7166451612903226
12-4,400,0.05,8,0.7,1.0,50,15.88407301902771,0.7316129032258064
12-5,200,0.01,8,0.7,0.8,1,18.141031742095947,0.7145806451612903
12-6,400,0.05,5,0.7,0.8,50,20.51374840736389,0.7114838709677419
12-7,200,0.05,5,1.0,0.8,10,21.715644359588623,0.7054623655913979
12-8,400,0.01,5,0.7,1.0,1,24.293755531311035,0.7005591397849462
12-9,200,0.01,8,0.7,1.0,50,27.73527193069458,0.7041720430107526
12-10,600,0.1,5,0.7,0.8,10,31.139349222183228,0.730752688172043
12-11,400,0.1,8,1.0,1.0,1,35.06364464759827,0.7489032258064516
12-12,200,0.05,5,1.0,1.0,1,36.265385150909424,0.7066666666666667
12-13,600,0.01,5,1.0,0.8,50,40.041754961013794,0.7005591397849462
13-1,400,0.01,8,1.0,1.0,1,5.541600704193115,0.7142365591397849
13-2,600,0.1,5,1.0,0.8,1,8.879570484161377,0.733763440860215
13-3,200,0.1,5,1.0,1.0,1,10.065203666687012,0.7109677419354838
13-4,200,0.05,5,1.0,0.8,1,11.378535985946655,0.7061505376344086
13-5,400,0.01,5,1.0,1.0,10,14.022650480270386,0.6980645161290323
13-6,600,0.05,5,1.0,1.0,50,17.52615237236023,0.7126021505376344
13-7,400,0.1,5,1.0,0.8,50,19.81109595298767,0.7154408602150537
13-8,600,0.05,5,0.7,0.8,10,23.36079478263855,0.7199139784946237
13-9,200,0.01,8,0.7,1.0,10,25.672978162765503,0.7104516129032258
13-10,400,0.01,8,1.0,1.0,10,30.357991218566895,0.712516129032258
13-11,400,0.05,5,1.0,0.8,10,32.767494678497314,0.7101075268817204
13-12,200,0.05,5,0.7,1.0,1,34.01072025299072,0.7056344086021505
13-13,600,0.1,8,1.0,1.0,1,39.954060077667236,0.7548387096774194
14-1,600,0.1,8,0.7,0.8,10,7.231011867523193,0.7508817204301075
14-2,400,0.01,8,1.0,0.8,10,11.924276113510132,0.7157849462365592
14-3,200,0.1,8,0.7,0.8,10,14.053541421890259,0.7384086021505376
14-4,600,0.1,5,0.7,0.8,1,17.5278902053833,0.7353978494623656
14-5,600,0.05,5,0.7,0.8,1,21.014095544815063,0.7237849462365591
14-6,600,0.1,8,0.7,0.8,1,27.348684549331665,0.7571612903225806
14-7,600,0.1,5,0.7,0.8,50,30.89381980895996,0.7272258064516129
14-8,200,0.1,5,0.7,1.0,10,32.11142015457153,0.712258064516129
14-9,200,0.1,8,1.0,1.0,1,34.134809732437134,0.738752688172043
14-10,400,0.01,5,0.7,0.8,10,36.72708773612976,0.7003010752688172
14-11,600,0.05,8,0.7,1.0,10,43.16294312477112,0.7476989247311828
14-12,400,0.05,5,0.7,1.0,50,45.5968337059021,0.7106236559139785
14-13,400,0.01,5,1.0,0.8,50,48.12969970703125,0.6996129032258065
15-1,600,0.01,5,1.0,0.8,1,4.725097894668579,0.7027956989247311
15-2,400,0.1,8,0.7,0.8,50,9.043372869491577,0.738494623655914
15-3,600,0.01,8,1.0,1.0,1,15.826712369918823,0.7181935483870968
15-4,600,0.05,8,0.7,1.0,1,22.15457320213318,0.7545806451612903
15-5,200,0.1,8,1.0,0.8,50,24.188280820846558,0.7281720430107527
15-6,600,0.1,5,0.7,1.0,50,27.792104721069336,0.7243010752688172
15-7,600,0.01,5,0.7,0.8,10,31.58513355255127,0.7020215053763441
15-8,600,0.05,5,0.7,1.0,1,35.031611919403076,0.7254193548387097
15-9,400,0.05,8,0.7,1.0,1,39.26843023300171,0.7483010752688172
15-10,400,0.01,5,0.7,1.0,50,41.837883949279785,0.6980645161290323
15-11,400,0.05,8,0.7,0.8,1,45.94610023498535,0.7484731182795699
15-12,200,0.05,5,0.7,0.8,50,47.396384716033936,0.7036559139784946
15-13,200,0.1,5,0.7,0.8,1,48.56893467903137,0.7179354838709677
